depId, depCount
org.apache.nifi:nifi-ssl-context-service-api, 1
org.elasticmq:elasticmq-api_2.9.1, 2
info.kwarc.sally4.comm:comm-text, 2
org.dspace:jargon, 27
org.ow2.sirocco.cloudmanager:sirocco-cloudmanager-connector-amazon, 1
com.meschbach.cise:cise-oss, 6
org.apache.syncope:syncope-build-tools, 1
org.mobicents.servlet.sip:restcomm.commons, 6
com.phloc:isorelax, 1
*:antlr, 2
com.asayama.gwt.angular:gwt-angular-ngSanitize, 1
com.googlecode.gwt-crypto:gwt-crypto, 6
org.apache.maven.archiva:archiva-lucene-consumers, 3
org.apache.geronimo.framework:geronimo-deploy-jsr88-bootstrapper, 1
org.swinglabs.swingx:swingx-painters, 1
org.picketlink:picketlink-tomcat7-single, 1
org.apache.oodt:cas-filemgr, 6
org.jruby.extras:constantine, 2
org.webjars:q, 1
org.jenkins-ci.main:maven-plugin, 1
com.amazonaws:aws-java-sdk-sqs, 137
org.objectweb.asm:com.springsource.org.objectweb.asm.tree.analysis, 1
org.kill-bill.billing.plugin:killbill-plugin-api-notification, 22
org.glassfish.jersey.ext.rx:jersey-rx-client, 4
com.sun.commons:beanutils, 4
com.ning.jetty:ning-service-skeleton-log4j, 2
sk.seges.corpis:corpis-search-domain-model, 3
sk.seges.corpis:corpis-application-scaffold-model-support, 43
org.apache.geronimo.gshell.support:gshell-ansi, 20
com.twitter:scala-json_2.9.2, 4
org.jvnet.hudson.main:hudson-inject, 6
org.postgresql:postgresql, 139
org.apache.servicemix:servicemix-services, 5
org.scalanlp:breeze-process_2.10, 1
org.aperteworkflow:document-provider-registry, 1
org.apache.tez:tez-mapreduce, 65
org.crsh:crsh.cli, 8
se.romanredz.mouse:mouse, 1
com.jidesoft:jidefx-converters, 1
${project.groupId}:lift-proto_${scala.version}, 1
org.apache.karaf.tooling:features-maven-plugin, 1
org.jboss.stdio:jboss-stdio, 218
com.frugalmechanic:scala-optparse_2.11, 2
org.kantega.reststop:reststop-jaxrs-api, 2
org.apache.karaf.shell:org.apache.karaf.shell.config, 15
${project.groupId}:maven-util, 1
com.frugalmechanic:scala-optparse_2.10, 2
de.sven-jacobs:loremipsum, 7
org.openspml:openspml2, 1
com.github.riccardove.easyjasub:bdsup2sub-lib, 2
org.jboss.as:jboss-as-build, 1
org.jvnet.com4j:com4j, 2
org.scalaz:scalaz-test-suite_2.9.0-1, 1
${project.groupId}.xjcplugins:cxf-xjc-boolean, 1
se.javasoft.development:metamodel, 2
org.ow2.jonas.cxf.transport.reliablejms:modules-transport, 8
me.lessis:retry-core_2.9.3, 1
org.ow2.util:util-geolocation-gwt, 1
io.norberg:auto-matter-annotation, 4
org.jbpm:jbpm-gwt-graph, 1
org.owasp:csrfguard, 1
xmlbeans:xmlpublic, 20
org.entando.entando.bundles.misc:entando-misc-jquery, 6
c10n:c10n-core, 1
${pkgGroupId}:qpid-common, 1
com.github.javawithmarcus.wicket-cdi-1.1:wicket-cdi-1.1-core, 1
com.xeiam.xchange:xchange-coinsetter, 1
org.robokind:org.robokind.api.speech, 2
edu.vt.middleware:vt-password, 1
com.cedarsoft.commons.rest:model, 2
org.scala-tools.testing:scalacheck_2.9.0.RC1, 19
org.drools:drools-wb-test-scenario-editor-backend, 3
org.neo4j:neo4j-query-logging, 10
izpack:standalone-compiler, 2
${project.groupId}:truevfs-kernel-impl, 1
fr.inria.jfilter:jfilter-library, 1
org.springframework:org.springframework.spring-library, 1
org.apache.oltu.oauth2:org.apache.oltu.oauth2.dynamicreg.server, 1
org.sonatype.security:security-model, 20
net.anotheria:ano-db, 15
org.springframework:spring-webmvc-struts, 2
com.intellify:intellify-api, 1
${project.groupId}:reef-common, 3
org.mitre.medfacts:medfacts-zoner, 3
io.fabric8.etcd:fabric-etcd-api, 2
net.sf.tweety.logics:commons, 25
${project.groupId}:static-jsfexpression-validator-core, 1
org.apache.xmlgraphics:batik-extensions, 1
org.ow2.petals.wsstar.oasis-ws-resource:wsrf-r-datatypes-jaxbimpl, 1
org.qi4j.library:org.qi4j.library.shiro-web, 1
com.sun.messaging.mq:imqjmx, 2
org.defne.samples:hotel-ejb, 1
de.akquinet.jbosscc:jbosscc-needle, 1
org.apfloat:apfloat-samples, 1
ru.circumflex:circumflex-core, 7
org.apache.cxf.dosgi.samples:cxf-dosgi-ri-samples-greeter-impl, 1
org.milyn:milyn-smooks-json, 1
${groupId}:openid4java-server, 1
org.springframework.boot:spring-boot-starter-mail, 1
synthetica:synthetica-bluemoon-addon, 1
org.apache.directory.server:apacheds-core-entry, 239
org.apache.syncope:syncope-core, 1
com.github.fscheffer:arras-cms, 1
org.eclipse.core:org.eclipse.core.jobs, 58
com.github.axet.litedb:libsqlite, 7
de.alpharogroup:jgeohash, 7
io.fabric8:watcher-core, 4
net.ggtools.maven:ddlgenerator-samples-multi-domain, 1
org.kie:kie-aries-blueprint, 1
ca.carleton.gcrc:nunaliit2-search, 2
graphlayout:graphlayout, 2
com.github.philcali:lmxml-html_2.9.0-1, 1
org.deephacks.westty:westty-jaxrs, 1
org.ow2.util:util-plan-fetcher-api, 20
eu.agrosense.api:ws, 1
org.apache.tomcat:tomcat-juli, 509
ai.h2o:h2o-app, 1
com.googlecode.gwtmodernizr:gwtmodernizr, 1
com.typesafe.akka:akka-remote_2.11, 15
org.apache.clerezza:platform.scripting, 1
${project.groupId}:whirr-cdh, 2
com.mysema.rdf:rdfbean-sesame2, 1
com.mysema.rdf:rdfbean-sesame3, 1
javax.resource:javax.resource-api, 642
org.clapper:grizzled-scala_2.9.1-1, 2
com.typesafe.akka:akka-remote_2.10, 17
net.isger:brick-struts, 1
${project.groupId}:jetspeed-search, 2
de.javakaffee.msm:msm-javolution-serializer, 1
com.ibm.websphere.as:ws-j2eex, 1
io.leopard:burrow-mock4j, 2
org.apache.geronimo.samples:jms-mdb-war, 1
com.googlecode.jannocessor:jannocessor-service-api, 6
org.apache.uima:ruta-core-ext, 1
net.officefloor.plugin:officeplugin_jpa, 1
${project.groupId}:platform, 1
org.rapidoid:rapidoid-db-impl, 3
javax.cache:test-domain, 3
${project.groupId}:pellet-common, 1
org.apache.maven.shared:maven-shared-resources, 2
org.codehaus.redback:redback-xmlrpc-services, 4
${project.groupId}:craft-atom-io, 1
org.pcap4j:pcap4j-packetfactory-static, 3
com.apitrary:apitrary-api, 3
org.crsh:crsh.shell.ssh, 4
org.apache.jmeter:ApacheJMeter_java, 1
${project.groupId}:taglets, 1
org.apache.wink:wink-server, 8
org.fxmisc.wellbehaved:wellbehavedfx, 2
net.liftmodules:fobo-angularjs_2.6_2.11, 1
org.scalesxml:scales-iterv_2.9.3, 1
net.liftmodules:fobo-angularjs_2.6_2.10, 1
org.apache.ace:org.apache.ace.discovery.property, 1
li.rudin.jjst:jjst-browser-api, 1
net.java.dev.jgoodies:forms, 1
org.apache.isis.runtimes.dflt.objectstores:xml, 1
org.postgis:postgis-jdbc, 100
org.sonatype.sisu:sisu-bundle-launcher-jetty, 1
com.twitter:bijection-util_2.10, 8
com.amazonaws:aws-java-sdk-sns, 136
org.ow2.lewys:lewys-with-dependencies, 1
org.ow2.jasmine.monitoring:alarm-snmp-jar, 3
org.apache.geronimo.gshell.support:gshell-security, 1
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.hunpos-model-tagger-hu-szeged_kr, 2
me.soliveirajr:tsutils, 3
net.dempsy:lib-dempsycore, 2
org.jboss.forge.descriptors:javaee-descriptors-api, 23
${project.groupId}:jboss-as-transactions, 7
org.jboss.weld.osgi.examples:weld-osgi-calculator-minus, 1
rocks.xmpp:xmpp-core-client, 1
${project.groupId}:apiman-gateway-api-rest-impl, 1
muse.osgi-bundles:muse-core, 2
org.ow2.xlcloud.xsa.ext.hpc:hpc-model, 2
org.apache.maven.plugins:maven-dependency-plugin, 17
storm:storm-kafka, 2
nu.zoom.svansprogram:svansprogram-error, 7
org.jclouds.karaf:recipe, 3
rome:itunes, 2
org.apache.stratos:org.apache.stratos.cloud.controller.service.stub, 2
com.netaporter.gatling:gatling-app, 1
${project.groupId}:jimix-vertx, 1
bcel:bcel, 133
org.apache.neethi:neethi, 383
${project.groupId}:orange11-healthcheck-api, 1
plexus:plexus-i18n, 5
${android.groupId}:${android.artifactId}, 1
org.jbundle.app.office:org.jbundle.thin.app.office.calendar.app, 1
com.github.spullara.java:concurrent6, 1
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.mallet-asl, 1
org.jbundle.app.office:org.jbundle.app.office.calendar.screen.view.swing, 1
org.codehaus.plexus.webdav:plexus-webdav-api, 1
