id,comment,patterns
org.jboss.errai.io.netty:netty,,
org.jboss.weld.osgi:weld-osgi-core-mandatory,,
org.jctools:jctools-core,,
org.jogamp.jocl:jocl,,
org.jtestr:jruby-complete,,throw
org.jvnet.hudson:xstream,,
org.kitesdk:kite-data-mapreduce,,
org.metatype.sxc:sxc-jaxb,,
org.msgpack:msgpack-core,,
org.objenesis:objenesis-tck,,
org.openengsb.wrapped:jira-rest-java-client-core,,
org.ow2.jonas.assemblies:client-jar,,
org.parceler:parceler,,
org.powermock:powermock-classloading-objenesis,,
org.projectlombok:lombok.ast,,
org.resthub:hessian,,
org.rhq:rhq-scripting-python,,
org.scala-lang:scala-pickling_2.10,,
org.scala-lang:scala-pickling_2.11,,
org.spark-project:akka-actor,,monitor
org.sql2o:sql2o,,
org.wisdom-framework:akka-system,,
org.xerial.larray:larray-mmap,,largearrays
org.xerial:larray-mmap,,largearrays
pl.edu.icm:JLargeArrays,,monitor&largearrays
uk.co.real-logic:Agrona,,
ai.h2o:h2o-classic,,throw
be.unamur.info:yami-tool,,
biz.paluch.redis:lettuce-shaded,,throw
cc.concurrent:mango,,
ch.ethz.inf.vs:cf-plugtest-checker,,
ch.ethz.inf.vs:cf-proxy,,
ch.ledcom.tomcat.valves:tomcat-valves,,
ch.softappeal.yass:yass,,
ch.softappeal.yass:yass-jdk1.6,,
ch.softappeal.yass:yass-jdk1.7,,
co.paralleluniverse:comsat-jetty-loader,,
co.paralleluniverse:comsat-tomcat-loader,,
co.paralleluniverse:galaxy,,
co.paralleluniverse:quasar,,
com.aceevo:ursus-example-application,,
com.aceevo:ursus-example-http-client,,
com.aceevo:ursus-example-jersey-client,,
com.aceevo:ursus-example-nio-application,,
com.aceevo:ursus-example-nio-client,,
com.aceevo:ursus-example-rest-application,,
com.aceevo:ursus-example-websocket-client,,
com.alexkasko.unsafe:unsafe-tools,,
com.almende.eve:eve-bundle-android-ws,,
com.almende.eve:eve-bundle-full,,
com.almende.eve:eve-bundle-full-embed,,
com.aol.simplereact:simple-react,,throw
com.bah.lucene:lucene-hdfs-directory,,
com.barchart.wrap:barchart-wrap-elasticsearch-all,,class&throw
com.bazaarvoice.auth:jersey-hmac-auth-cli,,
com.bazaarvoice.auth:jersey-hmac-auth-sample,,
com.bazaarvoice.ostrich.examples.calculator:calculator-service,,
com.bazaarvoice.ostrich.examples.calculator:calculator-user,,
com.bazaarvoice.ostrich.examples.dictionary:dictionary-service,,
com.bazaarvoice.ostrich.examples.dictionary:dictionary-user,,
com.bryghts.kissjson:kissjson_2.10,,
com.carma:swagger-doclet-sample-dropwizard,,
com.cetsoft:imcache,,
com.cloudbees.util:jnr-unixsocket-nodep,,
com.dyuproject.protostuff:protostuff-uberjar,,
com.elastisys.scale:cloudadapters.aws.autoscaling,,
com.elastisys.scale:cloudadapters.aws.ec2,,
com.elastisys.scale:cloudadapters.openstack,,
com.elastisys.scale:cloudadapters.splitter,,
com.elastisys.scale:commons.logreplayer,,
com.esotericsoftware:kryo-shaded,,
com.etsy:statsd-jvm-profiler,,
com.facebook.nifty:nifty-load-tester,,
com.facebook.presto.hadoop:hadoop-apache2,,
com.facebook.swift:swift-load-generator,,
com.fasterxml.transistore:transistore-server,,
com.fitbur.external:external-guava,,
com.frightanic:open-data-smn,,throw
com.ge.snowizard:snowizard-application,,
com.ge.snowizard:snowizard-service,,
com.getpebble:pebblekit,,
com.github.alaisi.nalloc:nalloc,,
com.github.chrisvest:stormpot,,
com.github.indykish:megam_common_2.10,,
com.github.jknack:amd4j-tool,,
com.github.jknack:handlebars-proto,,
com.github.kmbulebu.nicknack:dsc-it100-provider,,
com.github.kmbulebu.nicknack:pushover-provider,,
com.github.livesense:org.liveSense.framework.gwt,,
com.github.mkolisnyk:sirius-maven-plugin,,
com.github.pabloo99.xmlsoccer:xmlsoccer,,
com.github.sakserv:hadoop-mini-clusters,,throw
